ISO3V10,Country_Territory_Island,CMR_latest,CMR_mean,CMR_std,CMR_trend,CMR_pct_change,WAT_latest,WAT_mean,WAT_std,WAT_trend,WAT_pct_change,SAN_latest,SAN_mean,SAN_std,SAN_trend,SAN_pct_change,CHI_v2023_latest,CHI_v2023_mean,CHI_v2023_std,CHI_v2023_trend,CHI_v2023_pct_change,NRPI_v2023_latest,NRPI_v2023_mean,NRPI_v2023_std,NRPI_v2023_trend,NRPI_v2023_pct_change,infra_gap,Homicide_per100k,WGI_GovEffect,WGI_RegQuality,WGI_Corruption,WGI_RuleLaw,WGI_PolStability,WGI_VoiceAccount,Cluster_DBSCAN
PLW,Palau,1.14,1.461538461538462,0.2686647897115832,-0.0682417582417582,-40.62500000000001,99.57,99.52461538461536,0.0325615787433043,0.0082967032967054,0.1005328239670195,99.02,97.44153846153844,1.0815178080969208,0.27736263736264,3.490802675585273,99.0,98.31384615384616,0.4935844821564378,0.1263736263736275,1.5384615384615383,,,,,,2.0830769230769164,,,,,,,,1
PSE,Palestine,2.09,2.7115384615384617,0.6076436202502,-0.1231318681318679,-37.23723723723724,98.44,96.64538461538464,1.2143284521675288,0.311483516483517,4.004226096143679,99.44,96.7146153846154,1.8369386461565853,0.4715934065934098,5.94502450458129,98.33,96.5330769230769,1.2488286819748655,0.3176373626373649,3.9099651273380567,,,,,,-0.0692307692307565,,,,,,,,1
PAN,Panama,1.95,2.366153846153846,0.3280126639206292,-0.0836813186813185,-33.21917808219178,94.65,93.33153846153846,0.9470026940638062,0.2417032967032994,2.880434782608702,85.88,79.80615384615385,4.4166324623736015,1.132307692307694,17.708333333333336,92.61,89.95384615384614,1.93666611500941,0.4964285714285724,6.484994825802001,,,,,,13.52538461538461,,,,,,,,5
PNG,Papua New Guinea,8.67,10.907692307692306,1.69545546410669,-0.434120879120879,-36.34361233480176,50.24,44.01538461538461,4.001725909705743,1.0275274725274743,32.629355860612456,19.3,18.95846153846154,0.2297769263817323,0.0588461538461538,3.596349973161576,52.51,49.28769230769231,2.19156775637196,0.5625824175824186,14.45074106364428,22.41,22.75,0.3925981830489453,-0.2720000000000008,-2.9449978345604144,25.056923076923074,,,,,,,,0
PRY,Paraguay,2.63,3.276923076923077,0.5214784210202218,-0.1329120879120879,-36.77884615384615,99.6,96.26153846153844,3.5459315798857083,0.8725274725274781,10.789766407119007,94.57,88.52692307692307,4.043598613066056,1.0380219780219777,15.09066569307532,96.84,93.41769230769228,2.747644912302639,0.6981868131868174,9.0909090909091,,,,,,7.734615384615381,,,,,,,,0
PER,Peru,3.2,3.717692307692308,0.4297121875192325,-0.1086263736263734,-29.20353982300884,94.81,91.14230769230768,2.406339383954231,0.6178571428571442,8.49067399015906,78.46,74.90538461538462,2.333808101882038,0.5992307692307675,10.10384507437551,89.61,86.96461538461539,1.775052184137204,0.4556043956043995,6.513728753120176,,,,,,16.236923076923063,,,,,,,,5
PHL,Philippines,5.38,6.257692307692308,0.6093323374283508,-0.1558241758241758,-24.43820224719101,94.88,92.38692307692304,1.6213388737675236,0.4163186813186835,5.5629728526924795,84.76,77.83153846153847,4.458013096574613,1.1446703296703322,19.329860622272285,90.73,87.18307692307692,2.306727063089551,0.5922527472527492,8.424952198852768,42.33,42.345,0.0173205080756894,-0.0120000000000062,-0.0708215297450451,14.555384615384584,,,,,,,,5
POL,Poland,0.62,0.6869230769230769,0.066003107929932,-0.0163186813186813,-24.39024390243902,90.37,94.08538461538458,2.770991445267126,-0.709945054945054,-8.188560398252568,98.96,97.52692307692308,1.7117066756865018,0.4087912087912105,4.963937208315648,96.15,96.8869230769231,0.4099265099865364,-0.0931318681318656,-1.0700689371334418,,,,,,-3.4415384615384994,,,,,,,,-1
PRT,Portugal,0.56,0.6615384615384616,0.0628286232336496,-0.0157142857142857,-26.315789473684205,99.26,99.19846153846154,0.0333781749666246,0.0083516483516489,0.1008471157724975,99.66,99.34,0.3244996147917589,0.0805494505494519,0.9113001215066742,99.38,99.20692307692308,0.1455669728672802,0.0369780219780254,0.4244139046079241,,,,,,-0.1415384615384596,,,,,,,,2
QAT,Qatar,0.77,1.0530769230769228,0.1992228490654212,-0.0508241758241758,-41.66666666666667,99.99,99.9523076923077,0.023506682083272,0.0059890109890093,0.0700560448358618,99.94,99.94000000000004,2.958225308398898e-14,1.1147911615022624e-15,0.0,99.62,99.47692307692306,0.1005306433701211,0.0256593406593408,0.2818602778337036,,,,,,0.0123076923076723,,,,,,,,2
KOR,Republic of Korea,0.42,0.5015384615384616,0.0588566271893196,-0.015054945054945,-30.0,100.0,99.51923076923076,0.3180005644245924,0.0816483516483558,0.979501161264262,99.82,99.89153846153846,0.0484503446575569,-0.0124175824175774,-0.1500450135040568,99.74,99.57,0.1166904737614266,0.029945054945058,0.3521481034309229,,,,,,-0.372307692307686,,,,,,,,2
MDA,Republic of Moldova,2.0,2.2023076923076923,0.1490611645239321,-0.038186813186813,-18.032786885245898,92.02,89.39769230769231,1.691770048628329,0.4343956043956077,6.00161271742886,84.91,80.95615384615384,2.614732422452752,0.6713186813186833,10.315707418474728,91.39,89.1023076923077,1.5035189492551224,0.3860439560439562,5.288018433179728,,,,,,8.441538461538471,,,,,,,,5
ROU,Romania,1.17,1.463846153846154,0.2463919121216732,-0.0625824175824175,-37.09677419354839,100.0,100.0,0.0,-1.1147911615022624e-15,0.0,88.28,83.96538461538461,3.173842611579365,0.8134615384615423,11.775132945049377,95.55,93.97846153846152,1.1704760153732774,0.2998901098901122,3.712145880820582,,,,,,16.034615384615392,,,,,,,,-1
RUS,Russian Federation,0.99,1.5015384615384613,0.4009332062793451,-0.102087912087912,-51.94174757281553,97.05,96.54692307692306,0.3248688098136586,0.0834065934065982,1.0306058713304131,89.42,88.03000000000003,0.8845526176171388,0.2270879120879176,3.137254901960783,95.03,94.16615384615385,0.5872753252881557,0.150659340659341,1.8542336548767464,,,,,,8.516923076923035,,,,,,,,1
RWA,Rwanda,10.09,13.695384615384617,3.3443001644205905,-0.8237912087912087,-51.06692531522794,65.1,59.49461538461538,3.738448018863387,0.9597252747252768,20.9812302545995,73.83,67.02384615384616,5.10629927713724,1.3080219780219795,25.199253857893844,74.99,69.1846153846154,4.454994604158003,1.1365934065934071,22.1136622699886,37.51,37.825,0.3637306695894657,-0.2520000000000045,-1.651809124278979,-7.529230769230786,,,,,,,,0
KNA,Saint Kitts and Nevis,2.34,2.666153846153846,0.211760023829588,-0.0528571428571428,-19.31034482758621,98.61,98.60461538461536,0.0119828937903068,0.0020879120879128,0.0405802982651985,94.95,94.6492307692308,0.6310105854693414,0.1146153846153875,2.1077535218840824,96.78,96.52384615384616,0.2815001024729972,0.0637912087912115,0.970266040688583,,,,,,3.955384615384574,,,,,,,,4
LCA,Saint Lucia,2.44,2.426923076923077,0.0143669849450138,0.0031868131868133,0.8264462809917362,96.89,95.67153846153847,1.2972396730098756,0.3191208791208827,3.769947520616896,83.36,83.24384615384614,0.2590861652532631,0.0054395604395624,-0.3943123431712251,92.29,91.85,0.4327817001676507,0.1067582417582475,1.161898498301,,,,,,12.42769230769234,,,,,,,,3
